model,term,log_PR,se,PR,lower,upper,p,df,missing_information
Age_M2,educationLess than high school,-0.157252406077373,0.111638826883087,0.854488353542691,0.686375001365625,1.06377759225988,0.159276187527296,979.658160773258,0.00973065025789825
Age_M2,income_group200-399%,0.827416622265969,0.119261658431693,2.28740187772969,1.80988001039884,2.89091393914468,9.12670538072888e-12,695.44582047851,0.0607502240191978
Age_M2,income_group100-199%,1.08904656734204,0.127541943803803,2.97143965395691,2.31275337681572,3.81772380298684,1.79209894675127e-16,481.298480470488,0.0974653330838893
Age_M2,income_group<100%,0.917676917278934,0.139035719724443,2.50346786650962,1.90545786191926,3.28915767905437,7.85819828693957e-11,734.819343469971,0.0548209112443408
Age_M2,insurancePublic without private,-0.2177451230503,0.0744280857446141,0.80433042082743,0.695027964483263,0.93082215238551,0.00351805768792582,972.883400972386,0.0121769542846807
Age_M2,insuranceMilitary only,-0.194895674033939,0.23231404499887,0.822920505554612,0.521638502155087,1.29821352462385,0.401710117253604,989.517788410646,0.00487914213859802
Age_M2,insuranceUninsured,0.603082354671324,0.0966541283124237,1.82774388158063,1.51195488747029,2.20948900283974,6.58381727444096e-10,955.358045482045,0.0172282247262437
Age_M3,(Intercept),-3.31610368419726,0.197042097110126,0.0362939693835576,0.0246548926392837,0.0534276191296726,5.58720829053695e-56,973.364719239109,0.00951554362083255
Age_M3,yearf2020,-0.0944897723300511,0.1257329955309,0.909837040091397,0.710898721331026,1.16444637566989,0.452524616156697,984.324311321021,0.00359961420831422
Age_M3,yearf2021,-0.0434963989230261,0.107322404059449,0.957436001885499,0.77561117216696,1.18188562852362,0.685354650873259,982.277691151195,0.00507071326129843
Age_M3,yearf2022,-0.157228404305572,0.112757847382935,0.85450886302329,0.684886917142188,1.06614008635496,0.163514216921242,985.287196269034,0.00275883084915941
Age_M3,yearf2023,-0.154171483885936,0.106236513253005,0.85712502527805,0.695831507876187,1.05580632759823,0.147040228008042,983.689930393321,0.00409232140981442
Age_M3,yearf2024,0.0548011955797261,0.0998932596299813,1.05633059060865,0.868291382635852,1.28509200824762,0.583406544623324,980.700630277286,0.00602832506843829
Age_M3,yearf2025,-0.109910231836955,0.112595515112368,0.895914556290816,0.718301963883093,1.11744493615836,0.329229584990936,983.744297568507,0.00405161511732209
Age_M3,young18-64,0.778893655074808,0.0693101784464378,2.17906013929565,1.90195174053386,2.49654236197095,1.19145737878201e-27,982.167844275779,0.00514139875460072
Age_M3,sex2,0.225208217028137,0.0628647051083449,1.25258349825479,1.10720916839905,1.4170451843068,0.000357236331080817,975.44719495971,0.00863583338458188
Age_M3,race2,0.0984379665879435,0.119920983720385,1.10344595175383,0.872064330604571,1.39621920735802,0.411926449192409,984.744472455444,0.00324879062867631
Age_M3,race3,0.0670025114260149,0.132814258050222,1.06929816363445,0.823963712206544,1.38768072648495,0.614034921305808,985.364383617613,0.00268512505824153
Age_M3,race4,-0.320248613360181,0.284018367998636,0.725968529160861,0.415780159179115,1.26756963673426,0.259778843657458,985.891031178876,0.00214860699347339
Age_M3,race5,-0.27075781962603,0.347322298072418,0.762801209519403,0.385839215311565,1.50805222007931,0.435838446546292,984.975701396041,0.00304567780306688
Age_M3,race6,-0.00884467712860989,0.228800962361268,0.991194321965318,0.632645785474064,1.55294827920191,0.969172067581331,973.437427556924,0.0094858865714687
Age_M3,race7,0.194973745967492,0.299058273347755,1.21527908009442,0.675775606196691,2.18549357060586,0.514580401226913,980.409485829753,0.00619338079820407
Age_M3,region2,0.19206321664036,0.113204467982441,1.21174711712538,0.970361043860247,1.51318015614109,0.0900881253134653,982.727020182877,0.00477420578065043
